Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, RESET1",KEY-SMD_B3U-1000PM,2,B3U-1000P,C231329
"C1, C2, C31, C32, C33, C38",C_Elec_4x5.4,6,1uF/16V,
"C10, C11, C12, C6, C7, C8, C9",1206,7,1nF,
"C13, C16, C29, C30",0805,4,100nF/50V,
C14,0805,1,10nF/50V,
C15,CP_Elec_6.3x5.9,1,22uF/63V,
C17,0805,1,330pF/50V,
C18,C_Elec_6.3x5.8,1,10uF/50V,
C19,C_Elec_3x5.4,1,1uF/16V,
C20,CP_Elec_10x12.5,1,220uF/10V,
"C21, C22",C_Elec_8x5.4,2,22uF,
"C23, C24, C25, C26, C27, C28",0805,6,100nF/16V,
"C3, C4",C_Elec_8x5.4,2,220nF,
"C34, C35, C5",C_Elec_8x5.4,3,100nF,
"C36, C37",C_Elec_6.3x5.8,2,1uF/16V,
D1,0603,1,LED_VERDE,
"D10, D11, D12, D13, D14, D15, D2, D3, D4, D5, D6, D7, D8, D9",0805,14,LED,
D16,1210,1,SMCJ40A,
"D17, D18",0805,2,DSK36,
"D19, D31, D32",0603,3,LED_Small_Filled,
D20,D_SMA,1,US1M,
"D21, D22, D23, D24",D_SMB,4,B220,
"D25, D27, D28, D29, D30, D34",SOD-523_L1.2-W0.8-LS1.6-BI,6,LESD5D5.0CT1G,C383211
D26,D_SOD-323,1,BAT760-7,
D33,SOT-23,1,SM712_SOT23,
D35,0603,1,LED_AMARELO,
D36,0603,1,LED_VERMELHO,
D37,0603,1,LED_AZUL,
F1,Fuse_Bourns_MF-RG300,1,"1,5 A 60 V",
J1,TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal,1,5~50Vcc,
J10,TerminalBlock_bornier-4_P5.08mm,1,Screw_Terminal_01x04,
J11,USB_Micro-B_Molex-105017-0001,1,1050170001,
J12,TerminalBlock_RND_205-00233_1x03_P5.08mm_Horizontal,1,CONEXÃO A e B,
J13,PinHeader_1x02_P2.54mm_Vertical,1,JUMP TERMINAÇÃO,
J14,PinHeader_1x14_P2.54mm_Vertical,1,Conn_01x14,
J2,TerminalBlock_CUI_TB007-508-08_1x08_P5.08mm_Horizontal,1,Screw_Terminal_01x08,
"J3, J4, J5, J6, J7, J8, J9",TerminalBlock_TE_282834-3_1x03_P2.54mm_Horizontal,7,SD1,
"K1, K2, K3, K4, K5, K6, K7",Relay_SPDT_SANYOU_SRD_Series_Form_C,7,SANYOU_SRD_Form_C 5V,
L1,L_Cenker_CKCS6020,1,10UH/4.5A_0560,
"Q1, Q2",SOT-23,2,SS8050,
"R1, R57, R58, R59, R60",0805,5,100R,
"R10, R11, R12, R22, R23, R24, R25, R26, R27, R28, R29, R7, R8, R9",0805,14,6K2,
"R13, R14, R15, R30, R31, R32, R33",0805,7,4K7,
"R16, R17, R18, R19, R20, R21, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R6, R64, R65, R67, R69, R72, R74, R75, R76",0805,30,1K,
"R2, R3, R4, R5, R61, R62, R63, R73",0805,8,10k,
"R49, R52",0805,2,200k,
"R50, R54, R66, R70, R71, R77",0805,6,5k1,
R51,0805,1,47k,
R53,0805,1,27k,
"R55, R56",0805,2,12R5,
R68,0805,1,120R,
U1,SOP-8_3.76x4.96mm_P1.27mm,1,LM75B,
"U10, U4, U5, U6, U7, U8, U9",SMDIP-4_W7.62mm,7,PC3H4,
U11,DIP-16_W7.62mm,1,ULN2003A,
U12,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL-EP3.1-1,1,MP4560DN–LF–Z,C40133
U13,SOT-223-3_TabPin2,1,AMS1117-3.3,C347222
U14,PWRM-TH_B0505S-1WR3T,1,B0505S-1WR3_C5443998,C5443998
"U15, U16",SOIC-8_7.5x5.85mm_P1.27mm,2,AMC1300DWV,
U17,TSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGS,
U18,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
U19,SOIC-16W_7.5x10.3mm_P1.27mm,1,ISO3088DW,
U2,WIFI-SMD_ESP32-WROOM-32UE,1,ESP32-WROOM-32UE(4MB),C701344
U21,PWRM-TH_YLPTEC_BXXXXS-1WR3,1,B0305S-1WR3_C7418874,C7418874
U3,QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,1,AW9523B,
